,State,positive
1,AK,35720.0
2,AL,269877.0
3,AR,170924.0
4,AS,0.0
5,AZ,364276.0
6,CA,1341700.0
7,CO,260581.0
8,CT,127715.0
9,DC,23136.0
10,DE,39912.0
11,FL,1040727.0
12,GA,443822.0
13,GU,7004.0
14,HI,18842.0
15,IA,213390.0
16,ID,109705.0
17,IL,787573.0
18,IN,381617.0
19,KS,168295.0
20,KY,200632.0
21,LA,251123.0
22,MA,256844.0
23,MD,215027.0
24,ME,13348.0
25,MI,426576.0
26,MN,350862.0
27,MO,322298.0
28,MP,106.0
29,MS,164931.0
30,MT,67875.0
31,NC,394990.0
32,ND,82981.0
33,NE,138568.0
34,NH,24771.0
35,NJ,368016.0
36,NM,108088.0
37,NV,168139.0
38,NY,705827.0
39,OH,475024.0
40,OK,216486.0
41,OR,84496.0
42,PA,420114.0
43,PR,56671.0
44,RI,62137.0
45,SC,232099.0
46,SD,85991.0
47,TN,400594.0
48,TX,1249323.0
49,UT,215407.0
50,VA,255053.0
51,VI,1633.0
52,VT,5015.0
53,WA,175793.0
54,WI,441067.0
55,WV,54997.0
56,WY,36317.0
